Name,Type,Attack range,Mp,Mp regen,Mp per level,Hp per level,Hp,Hp regen,Move speed,Attack damage,Armor,Spell block
Tristana,Marksmen,525,250,0.5,32,88,559,3.75,325,61,26,30
Trundle,Fighters,175,281,0.6,45,96,616.3,6,350,68,37,32.1
Tryndamere,Fighters,125,100,0,0,98,625.6,8.5,345,69,33,32.1
Twisted,Mages,525,333,0.8,19,94,534,5.5,335,50,20.5,30
Twitch,Marksmen,550,287,0.5,40,84,582,3.75,330,59,27,30
Udyr,Fighters,125,270,0.5,30,99,593.3,6,345,66,34,32.1
Urgot,Fighters,350,340,0.8,45,88,585,7.5,330,63,36,32.1
Varus,Marksmen,575,360,0.8,33,89,500,3.5,330,61,27,30
Vayne,Marksmen,550,231,0.4,35,89,515,3.5,330,60,23,30
Veigar,Mages,550,490,0.8,26,94,505,6.5,340,50.7,22.6,30
Vel'Koz,Mages,525,469,0.8,21,88,520,5.5,340,54.9,21.9,30
Vi,Fighters,125,295,0.7,45,85,585,10,340,63,30,32.1
Viktor,Mages,525,405,0.8,25,90,530,8,335,53,23,30
Vladimir,Mages,450,2,0,0,96,537,7,330,55,23,30
Volibear,Fighters,125,270,0.7,30,86,584.5,8,345,68,35,32.1
Warwick,Fighters,125,280,0.6,35,85,550,4,335,65,33,32.1
Xayah,Marksmen,525,340,0.8,40,86,561,3.25,325,60,25,30
Xerath,Mages,525,459,0.8,22,92,526,5.5,340,54.7,21.9,30
Xin,Fighters,175,273,0.5,35,92,570,8,345,66,35,32.1
Yasuo,Fighters,175,100,0,0,87,523,6.5,345,60,30,30
Yorick,Fighters,175,300,0.8,40,100,580,8,340,62,39,32
Zac,Tanks,175,0,0,0,95,615,8,340,60,33,32
Zed,Assassins,125,200,0,0,85,584,7,345,63,32,32.1
Ziggs,Mages,550,480,0.8,23,92,536,6.5,325,54.2,21.5,30
Zilean,Support,550,452,0.8,30,82,504,5.5,335,51.6,24,30
Zoe,Mages,550,425,0.7,25,92,560,6.5,340,58,20.8,30
Zyra,Mages,575,418,0.4,25,79,504,5.5,340,53.4,29,30
